meta_viewport,meta_robots,meta_keywords,meta_description,og:type,og:site_name,og:url,og:title,og:description,og:image,og:image:type,og:image:width,og:image:height,vk:image,og:title_1,og:description_1,og:url_1,og:type_1,og:image_1,og:image:type_1,og:image:width_1,og:image:height_1,og:description_2,canonical,URL
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",продвижение полуфабрикатов в соцсетях,"Продвижение полуфабрикатов и замороженных продуктов в соцсетях: особенности и проблемы, разработка контента и рекламных кампаний",website,FAROS,https://faros.media,Продвижение производителя полуфабрикатов в соцсетях: кейс от SMM-команды,"Продвижение полуфабрикатов и замороженных продуктов в соцсетях: особенности и проблемы, разработка контента и рекламных кампаний",https://faros.media/upload/iblock/02a/us92jj3heszcbwfzgrxkdhrw6l2t7370/poluf.png,image/png,500,500,https://faros.media/upload/iblock/02a/us92jj3heszcbwfzgrxkdhrw6l2t7370/poluf.png,Продвижение производителя полуфабрикатов в соцсетях: кейс от SMM-команды,"Продвижение полуфабрикатов и замороженных продуктов в соцсетях: особенности и проблемы, разработка контента и рекламных кампаний",https://faros.media/case/osobennosti-prodvizheniya-polufabrikatov-v-socsetyah/,website,https://faros.media/upload/resize_cache/webp/iblock/02a/us92jj3heszcbwfzgrxkdhrw6l2t7370/poluf.webp,image/webp,500,500,,https://faros.media/case/osobennosti-prodvizheniya-polufabrikatov-v-socsetyah/,https://faros.media/case/osobennosti-prodvizheniya-polufabrikatov-v-socsetyah
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",Продвижение брендовых кормов для домашних животных,"Какие требования предъявляют профессиональные заводчики, как формировать рекламную кампанию для каждого сегмента ЦА и какие методы продвижения использовать для товаров для животных.",website,FAROS,https://faros.media,Реклама и продвижение корма для питомцев: особенности работы с аудиторией заводчиков,"Какие требования предъявляют профессиональные заводчики, как формировать рекламную кампанию для каждого сегмента ЦА и какие методы продвижения использовать для товаров для животных.",https://faros.media/upload/iblock/dc3/dv2wb72dknys2271zsyl3zrp5xxuqs7p/1127.png,image/png,500,500,https://faros.media/upload/iblock/dc3/dv2wb72dknys2271zsyl3zrp5xxuqs7p/1127.png,Реклама и продвижение корма для питомцев: особенности работы с аудиторией заводчиков,"Какие требования предъявляют профессиональные заводчики, как формировать рекламную кампанию для каждого сегмента ЦА и какие методы продвижения использовать для ...",https://faros.media/case/prodvizhenie-brendovyh-kormov-dlya-domashnih-zhivotnyh/,website,https://faros.media/upload/resize_cache/webp/iblock/dc3/dv2wb72dknys2271zsyl3zrp5xxuqs7p/1127.webp,image/webp,500,500,,https://faros.media/case/prodvizhenie-brendovyh-kormov-dlya-domashnih-zhivotnyh/,https://faros.media/case/prodvizhenie-brendovyh-kormov-dlya-domashnih-zhivotnyh
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",продвижение детских товаров,Кейс по продвижению детских товаров на примере работы с брендом колясок инглезина: комплескное решение по маркетингу в социальных медиа,website,FAROS,https://faros.media,Как увеличить продажи премиальных детских колясок Inglesina: комплексный кейс по SMM-продвижению бренда,Кейс по продвижению детских товаров на примере работы с брендом колясок инглезина: комплескное решение по маркетингу в социальных медиа,https://faros.media/upload/iblock/139/4lu2vjcu12qn3gwch1180pd17gweg6xh/продвижение бренда детских колясок инглезина.png,image/png,1572,746,https://faros.media/upload/iblock/139/4lu2vjcu12qn3gwch1180pd17gweg6xh/продвижение бренда детских колясок инглезина.png,Как увеличить продажи премиальных детских колясок Inglesina: комплексный кейс по SMM-продвижению бренда,Кейс по продвижению детских товаров на примере работы с брендом колясок инглезина: комплескное решение по маркетингу в социальных медиа,https://faros.media/case/prodvizhenie-destkih-kolyasok-inglesina/,website,https://faros.media/upload/iblock/139/4lu2vjcu12qn3gwch1180pd17gweg6xh/продвижение бренда детских колясок инглезина.png,image/png,1572,746,,https://faros.media/case/prodvizhenie-destkih-kolyasok-inglesina/,https://faros.media/case/prodvizhenie-destkih-kolyasok-inglesina
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",Продвижение рок-школы с помощью активации в соцсетях,"Как продвигать музыкальную школу в Москве с помощью социальных сетей и нестандартных механик. Активация и вовлечение аудитории конкурсами, викторинами",website,FAROS,https://faros.media,Как продвинуть школу с помощью активационных механик в соцсетях,"Как продвигать музыкальную школу в Москве с помощью социальных сетей и нестандартных механик. Активация и вовлечение аудитории конкурсами, викторинами",https://faros.media/upload/iblock/6b0/te0pn705a69h6hrjc8g1utqsc5dolo8r/5e2ff14a32d2a3e67e94bf0a7eab99fa-benzin-preview.png,image/png,365,395,https://faros.media/upload/iblock/6b0/te0pn705a69h6hrjc8g1utqsc5dolo8r/5e2ff14a32d2a3e67e94bf0a7eab99fa-benzin-preview.png,Как продвинуть школу с помощью активационных механик в соцсетях,"Как продвигать музыкальную школу в Москве с помощью социальных сетей и нестандартных механик. Активация и вовлечение аудитории конкурсами, викторинами",https://faros.media/case/prodvizhenie-rok-shkoly-s-pomoshhyu-aktivatsii-v-sotssetyah/,website,https://faros.media/upload/iblock/6b0/te0pn705a69h6hrjc8g1utqsc5dolo8r/5e2ff14a32d2a3e67e94bf0a7eab99fa-benzin-preview.png,image/png,365,395,,https://faros.media/case/prodvizhenie-rok-shkoly-s-pomoshhyu-aktivatsii-v-sotssetyah/,https://faros.media/case/prodvizhenie-rok-shkoly-s-pomoshhyu-aktivatsii-v-sotssetyah
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",брендинг детской продукции,Как мы реализовали проект по разработке брендинга и упаковки детской куриной продукции крупного АПК. От идеи до мерчендайзинга,website,FAROS,https://faros.media,"Кейс: Разработка брендинга для детской продукции ""Фрегат Kids""",Как мы реализовали проект по разработке брендинга и упаковки детской куриной продукции крупного АПК. От идеи до мерчендайзинга,https://faros.media/upload/resize_cache/webp/iblock/742/wukhk6c3zuu586x8g7y37sb84hrn4nif/lego-benzin-preview.webp,image/webp,589,411,https://faros.media/upload/resize_cache/webp/iblock/742/wukhk6c3zuu586x8g7y37sb84hrn4nif/lego-benzin-preview.webp,Кейс: Разработка брендинга для детской продукции &quot;Фрегат Kids&quot;,Как мы реализовали проект по разработке брендинга и упаковки детской куриной продукции крупного АПК. От идеи до мерчендайзинга,https://faros.media/case/razrabotka-brendinga-dlya-detskoy-produktsii/,website,https://faros.media/upload/iblock/742/wukhk6c3zuu586x8g7y37sb84hrn4nif/lego-benzin-preview.png,image/png,589,411,,https://faros.media/case/razrabotka-brendinga-dlya-detskoy-produktsii/,https://faros.media/case/razrabotka-brendinga-dlya-detskoy-produktsii
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",Репутационный аудит: как проанализировать восприятие пищевых продуктов ,Кейс по ретроспективному мониторингу и анализу репутации бренда и линейки замороженных продуктов компании &quot;Сибирский Гурман&quot;,website,FAROS,https://faros.media,Репутационный аудит на примере кейса по репутации продуктов,"Кейс по ретроспективному мониторингу и анализу репутации бренда и линейки замороженных продуктов компании ""Сибирский Гурман""",https://faros.media/upload/resize_cache/webp/iblock/971/5hjh7hgnjzczvkfekfmhmp4g9o1rka83/3d-hand-holding-a-dish-with-a-lid-serving-hot-dishes-isolated-3d-rendering_468651-61-benzin-preview.webp,image/webp,338,338,https://faros.media/upload/resize_cache/webp/iblock/971/5hjh7hgnjzczvkfekfmhmp4g9o1rka83/3d-hand-holding-a-dish-with-a-lid-serving-hot-dishes-isolated-3d-rendering_468651-61-benzin-preview.webp,Репутационный аудит на примере кейса по репутации продуктов,"Кейс по ретроспективному мониторингу и анализу репутации бренда и линейки замороженных продуктов компании ""Сибирский Гурман""",https://faros.media/case/reputatsionnyj-audit-kak-proanalizirovat-vospriyatie-pishhevyh-produktov/,website,https://faros.media/upload/iblock/971/5hjh7hgnjzczvkfekfmhmp4g9o1rka83/3d-hand-holding-a-dish-with-a-lid-serving-hot-dishes-isolated-3d-rendering_468651-61-benzin-preview.png,image/png,338,338,,https://faros.media/case/reputatsionnyj-audit-kak-proanalizirovat-vospriyatie-pishhevyh-produktov/,https://faros.media/case/reputatsionnyj-audit-kak-proanalizirovat-vospriyatie-pishhevyh-produktov
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",Репутационный маркетинг в фарминдустрии — комплексное продвижение препарата,"Разбор кейса по продвижению препарата для снижения веса Ксеникал: особенности и требования к агентам влияния, скрытый маркетинг",website,FAROS,https://faros.media,Кейс: репутационный маркетинг для продвижения препарата для похудения,"Разбор кейса по продвижению препарата для снижения веса Ксеникал: особенности и требования к агентам влияния, скрытый маркетинг",https://faros.media/upload/iblock/0ab/grf92k70c07d2pxjq7niiu4z0lyajtdq/продвижение похудательных препаратов.png,image/png,1484,622,https://faros.media/upload/iblock/0ab/grf92k70c07d2pxjq7niiu4z0lyajtdq/продвижение похудательных препаратов.png,Кейс: репутационный маркетинг для продвижения препарата для похудения,"Разбор кейса по продвижению препарата для снижения веса Ксеникал: особенности и требования к агентам влияния, скрытый маркетинг",https://faros.media/case/reputatsionnyy-marketing-v-farmindustrii-kompleksnoe-prodvizhenie-preparata/,website,https://faros.media/upload/iblock/0ab/grf92k70c07d2pxjq7niiu4z0lyajtdq/продвижение похудательных препаратов.png,image/png,1484,622,,https://faros.media/case/reputatsionnyy-marketing-v-farmindustrii-kompleksnoe-prodvizhenie-preparata/,https://faros.media/case/reputatsionnyy-marketing-v-farmindustrii-kompleksnoe-prodvizhenie-preparata
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",Репутация банка: отражение хакерской атаки,"Пожалуйста, укажите мета-описание, изменив фрагмент снизу. Если Вы не сделаете этого, Google попытается найти соответствующую часть Вашего поста, чтобы показать в поисковых результатах.",website,FAROS,https://faros.media,Репутация банка: отражение хакерской атаки | Агентство Faros.Media,"Пожалуйста, укажите мета-описание, изменив фрагмент снизу. Если Вы не сделаете этого, Google попытается найти соответствующую часть Вашего поста, чтобы показать в поисковых результатах.",https://faros.media/upload/iblock/d5d/e3ajd9tt8o8b41twzna56ewrj9fr6o9z/1122.png,image/png,500,500,https://faros.media/upload/iblock/d5d/e3ajd9tt8o8b41twzna56ewrj9fr6o9z/1122.png,Репутация банка: отражение хакерской атаки | Агентство Faros.Media,"Пожалуйста, укажите мета-описание, изменив фрагмент снизу. Если Вы не сделаете этого, Google попытается найти соответствующую часть Вашего поста, чтобы показать...",https://faros.media/case/reputatsiya-banka-otrazhenie-hakerskoj-ataki/,website,https://faros.media/upload/iblock/d5d/e3ajd9tt8o8b41twzna56ewrj9fr6o9z/1122.png,image/png,500,500,,https://faros.media/case/reputatsiya-banka-otrazhenie-hakerskoj-ataki/,https://faros.media/case/reputatsiya-banka-otrazhenie-hakerskoj-ataki
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",репутация застройщиков,Факторы влияния потребительской лояльности и доверия на репутацию застройщиков: от чего зависит и как корректировать в 2021,website,FAROS,https://faros.media,Формирование репутации застройщиков и управляющих компаний,Факторы влияния потребительской лояльности и доверия на репутацию застройщиков: от чего зависит и как корректировать в 2021,https://faros.media/upload/iblock/094/aa8k76ln68xr36onx9uz3nnhep0k52bn/thumbnail.png3e6d443b-6daf-4c9e-9655-138bbbf0d816Large-benzin-preview.png,image/png,401,419,https://faros.media/upload/iblock/094/aa8k76ln68xr36onx9uz3nnhep0k52bn/thumbnail.png3e6d443b-6daf-4c9e-9655-138bbbf0d816Large-benzin-preview.png,Формирование репутации застройщиков и управляющих компаний,Факторы влияния потребительской лояльности и доверия на репутацию застройщиков: от чего зависит и как корректировать в 2021,https://faros.media/case/reputatsiya-zastrojshhikov-i-upravlyayushhih-kompanij/,website,https://faros.media/upload/resize_cache/webp/iblock/094/aa8k76ln68xr36onx9uz3nnhep0k52bn/thumbnail.png3e6d443b-6daf-4c9e-9655-138bbbf0d816Large-benzin-preview.webp,image/webp,401,419,,https://faros.media/case/reputatsiya-zastrojshhikov-i-upravlyayushhih-kompanij/,https://faros.media/case/reputatsiya-zastrojshhikov-i-upravlyayushhih-kompanij
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",Школа иностранных языков,"Пожалуйста, укажите мета-описание, изменив фрагмент снизу. Если Вы не сделаете этого, Google попытается найти соответствующую часть Вашего поста, чтобы показать в поисковых результатах.",website,FAROS,https://faros.media,Школа иностранных языков | Агентство Faros.Media,"Пожалуйста, укажите мета-описание, изменив фрагмент снизу. Если Вы не сделаете этого, Google попытается найти соответствующую часть Вашего поста, чтобы показать в поисковых результатах.",https://faros.media/upload/iblock/bbc/pv46pijhkimfwmcm9fx1vbjuc1btlo9i/1124.png,image/png,500,500,https://faros.media/upload/iblock/bbc/pv46pijhkimfwmcm9fx1vbjuc1btlo9i/1124.png,Школа иностранных языков | Агентство Faros.Media,"Пожалуйста, укажите мета-описание, изменив фрагмент снизу. Если Вы не сделаете этого, Google попытается найти соответствующую часть Вашего поста, чтобы показать...",https://faros.media/case/shkola-inostrannyh-yazykov/,website,https://faros.media/upload/resize_cache/webp/iblock/bbc/pv46pijhkimfwmcm9fx1vbjuc1btlo9i/1124.webp,image/webp,500,500,,https://faros.media/case/shkola-inostrannyh-yazykov/,https://faros.media/case/shkola-inostrannyh-yazykov
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",SMM для бренда детских товаров на примере подгузников Libero,"В нашем smm-кейсе мы рассказываем о том, как с помощью соцсетей укрепили позиции бренда подгузников и сформировали новую контент-стратегию с нестандартными форматами",website,FAROS,https://faros.media,Кейс по SMM: голос бренда подгузников для привлечения молодых родителей,"В нашем smm-кейсе мы рассказываем о том, как с помощью соцсетей укрепили позиции бренда подгузников и сформировали новую контент-стратегию с нестандартными форматами",https://faros.media/upload/iblock/a38/llgjaxk2s59wijb63hx12sv1q1wmbp9s/baby_PNG51721.png,image/png,2033,2510,https://faros.media/upload/iblock/a38/llgjaxk2s59wijb63hx12sv1q1wmbp9s/baby_PNG51721.png,Кейс по SMM: голос бренда подгузников для привлечения молодых родителей,"В нашем smm-кейсе мы рассказываем о том, как с помощью соцсетей укрепили позиции бренда подгузников и сформировали новую контент-стратегию с нестандартными форм...",https://faros.media/case/smm-dlya-brenda-detskikh-tovarov-na-primere-podguznikov-libero/,website,https://faros.media/upload/iblock/a38/llgjaxk2s59wijb63hx12sv1q1wmbp9s/baby_PNG51721.png,image/png,2033,2510,,https://faros.media/case/smm-dlya-brenda-detskikh-tovarov-na-primere-podguznikov-libero/,https://faros.media/case/smm-dlya-brenda-detskikh-tovarov-na-primere-podguznikov-libero
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",Статистика бывшего клиента ,"Анализ эффективности продвижения сообщества в соцсетях по основным метрикам статистики: рост охвата, вовлеченности, посещаемости соцсетей",website,FAROS,https://faros.media,Статистика бывшего клиента | Агентство Faros.Media,"Анализ эффективности продвижения сообщества в соцсетях по основным метрикам статистики: рост охвата, вовлеченности, посещаемости соцсетей",https://faros.media/upload/iblock/02b/udy0fx3t97x9a9nb9o2r128nttntm2c7/iI.png,image/png,691,519,https://faros.media/upload/iblock/02b/udy0fx3t97x9a9nb9o2r128nttntm2c7/iI.png,Статистика бывшего клиента | Агентство Faros.Media,"Анализ эффективности продвижения сообщества в соцсетях по основным метрикам статистики: рост охвата, вовлеченности, посещаемости соцсетей",https://faros.media/case/statistika-byvshego-klienta/,website,https://faros.media/upload/resize_cache/webp/iblock/02b/udy0fx3t97x9a9nb9o2r128nttntm2c7/iI.webp,image/webp,691,519,,https://faros.media/case/statistika-byvshego-klienta/,https://faros.media/case/statistika-byvshego-klienta
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow","дизайн упаковки, нейминг пищевой продукции, брендинг для курицы",Кейс по дизайну фирменного стиля для пищевой продукции - курицы для детей от 3-х лет Фрегат Kids под ключ от нейминга до брендинга,website,FAROS,https://faros.media,Разработка нейминга и дизайн упаковки пищевого продукта для детей,Кейс по дизайну фирменного стиля для пищевой продукции - курицы для детей от 3-х лет Фрегат Kids под ключ от нейминга до брендинга,https://faros.media/upload/iblock/439/gmg0a4xb1xa59q6lvsow6gxwvfvho9qm/ФрегатKids_2.png,image/png,1419,945,https://faros.media/upload/iblock/439/gmg0a4xb1xa59q6lvsow6gxwvfvho9qm/ФрегатKids_2.png,Разработка нейминга и дизайн упаковки пищевого продукта для детей,Кейс по дизайну фирменного стиля для пищевой продукции - курицы для детей от 3-х лет Фрегат Kids под ключ от нейминга до брендинга,https://faros.media/case/ubeditelnyy-brending-kurinogo-myasa-dlya-detskogo-pitaniya/,website,https://faros.media/upload/resize_cache/webp/iblock/439/gmg0a4xb1xa59q6lvsow6gxwvfvho9qm/ФрегатKids_2.webp,image/webp,1419,945,,https://faros.media/case/ubeditelnyy-brending-kurinogo-myasa-dlya-detskogo-pitaniya/,https://faros.media/case/ubeditelnyy-brending-kurinogo-myasa-dlya-detskogo-pitaniya
"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no, minimal-uii","index, follow",продвижение аптеки,"кейс продвижение аптеки и раскрутка фармацевтики в интернете, дизайн соцсетей и контент, правильное позиционирование и рост вовлеченности",website,FAROS,https://faros.media,Раскрутка и продвижение аптеки. Кейс по визуальному контенту,"кейс продвижение аптеки и раскрутка фармацевтики в интернете, дизайн соцсетей и контент, правильное позиционирование и рост вовлеченности",https://faros.media/upload/resize_cache/webp/iblock/c6c/k7cicbsw0npmgageuwfsop3k2m3lerin/medicine-pill-01-benzin-preview.webp,image/webp,809,468,https://faros.media/upload/resize_cache/webp/iblock/c6c/k7cicbsw0npmgageuwfsop3k2m3lerin/medicine-pill-01-benzin-preview.webp,Раскрутка и продвижение аптеки. Кейс по визуальному контенту,"кейс продвижение аптеки и раскрутка фармацевтики в интернете, дизайн соцсетей и контент, правильное позиционирование и рост вовлеченности",https://faros.media/case/vizualnyj-kontent-dlya-sotssetej-regionalnoj-apteki/,website,https://faros.media/upload/resize_cache/webp/iblock/c6c/k7cicbsw0npmgageuwfsop3k2m3lerin/medicine-pill-01-benzin-preview.webp,image/webp,809,468,,https://faros.media/case/vizualnyj-kontent-dlya-sotssetej-regionalnoj-apteki/,https://faros.media/case/vizualnyj-kontent-dlya-sotssetej-regionalnoj-apteki
